"treatment_id","outcome_type","area","measures","results"
"104","primary","Social abilities","SRS-2, SCI, RRB","The AVP treatment group showed greater improvement in social abilities as shown by scores on SRS-2 and CGI-I scores. SRS-2 scores showed greater improvement in the participants with higher pretreatment AVP concentrations. "
"105","primary","Irritability","ABC-C irritability","Significant time by treatment interaction on ABC-C irritability scores."
"1","secondary","Adverse effects","",""
"2","secondary","Social behaviors, irritability, anxiety, attention/hyperactivity. ","CGI-I, CGI-S, Vineland-II Socialization, Visual Analog Scale-Anxiety and Disruptive, ADHD-IV. Exploratory measures: ABC-C (all subscales), Parenting stress Index, Vineland-II Maldaptive behavior and communication, CSHQ-Total & Daytime sleepiness, Sensory Profile Score","There was improvement on the CGI of Severity and greater improvement on the Vineland Adaptive Behavior Scales II socialization domain in the arbaclofen treatment group."
"3","secondary","Autism severity and social behaviors","CGIS severity and improvement, Socialization & Communication scales of VABS","CGIS severity improved more in the arbaclofen group. Other outcome measures showed no improvement, except for the VABS socialization subscale in 'higher functioning' patients. "
"4","secondary","Autism severity and social behaviors","CGIS severity and improvement, Socialization & Communication scales of VABS","CGIS severity improved more in the arbaclofen group. Other outcome measures showed no improvement, except for the VABS socialization subscale in 'higher functioning' patients. "
"3","secondary","Neurobehavioral function in FXS","CGIS, ABC, VABS, SRS, Repetitive Behavior Scale-revised, Child and Adolescent Symptom inventory Anxiety scale, ADHD Rating Scale-IV, VAS, vocabulary and short term/working memory","VAS problem behavior rating scores were better during arbaclofen treatment. Social avoidance (ABC) improved significantly more during arbaclofen treatment. Participants with the most severe social impairments improved more on the VABS socialization scale and the CGIS.  "
"4","secondary","Neurobehavioral function in FXS","CGIS, ABC, VABS, SRS, Repetitive Behavior Scale-revised, Child and Adolescent Symptom inventory Anxiety scale, ADHD Rating Scale-IV, VAS, vocabulary and short term/working memory","VAS problem behavior rating scores were better during arbaclofen treatment. Social avoidance (ABC) improved significantly more during arbaclofen treatment. Participants with the most severe social impairments improved more on the VABS socialization scale and the CGIS.  "
"5","secondary","","Clinical Global Impressions-Improvement (CGI-I Score), other ABC-J subscales, CGI-S, CGAS, and Y-BOCS.","Aripiprazole can improve clinician-rated CGI-I scores in children with ASD. "
"6","secondary","","Clinical Global Impressions-Improvement (CGI-I Score), other ABC-J subscales, CGI-S, CGAS, and Y-BOCS.","Aripiprazole can improve clinician-rated CGI-I scores in children with ASD. "
"7","secondary","","Clinical Global Impressions-Improvement (CGI-I Score), other ABC-J subscales, CGI-S, CGAS, and Y-BOCS.","Aripiprazole can improve clinician-rated CGI-I scores in children with ASD. "
"8","secondary","","Clinical Global Impressions-Improvement (CGI-I Score), other ABC-J subscales, CGI-S, CGAS, and Y-BOCS.","Aripiprazole can improve clinician-rated CGI-I scores in children with ASD. "
"5","secondary","Irritability. ","Clinical Global Impressions-Improvement (CGI-I) and Aberrant Behavior Checklist (ABC-I Scores)","No significant difference in the mean change in CGI-I and ABC-I scores. "
"6","secondary","Irritability. ","Clinical Global Impressions-Improvement (CGI-I) and Aberrant Behavior Checklist (ABC-I Scores)","No significant difference in the mean change in CGI-I and ABC-I scores. "
"7","secondary","Irritability. ","Clinical Global Impressions-Improvement (CGI-I) and Aberrant Behavior Checklist (ABC-I Scores)","No significant difference in the mean change in CGI-I and ABC-I scores. "
"8","secondary","Irritability. ","Clinical Global Impressions-Improvement (CGI-I) and Aberrant Behavior Checklist (ABC-I Scores)","No significant difference in the mean change in CGI-I and ABC-I scores. "
"5","secondary","","Clinical Global Impressions-Improvement (CGI-I) Scores ","Participants treated with Aripiprazole ""demonstrated significantly greater improvements in mean Clinical Global Impressions-Improvement score than placebo at week 8""."
"6","secondary","","Clinical Global Impressions-Improvement (CGI-I) Scores ","Participants treated with Aripiprazole ""demonstrated significantly greater improvements in mean Clinical Global Impressions-Improvement score than placebo at week 8""."
"7","secondary","","Clinical Global Impressions-Improvement (CGI-I) Scores ","Participants treated with Aripiprazole ""demonstrated significantly greater improvements in mean Clinical Global Impressions-Improvement score than placebo at week 8""."
"8","secondary","","Clinical Global Impressions-Improvement (CGI-I) Scores ","Participants treated with Aripiprazole ""demonstrated significantly greater improvements in mean Clinical Global Impressions-Improvement score than placebo at week 8""."
"5","secondary","Hyperactivity, stereotypy, inappropriate speech. Quality of life.","CGI-I; ABC- hyperactivity, stereotypy, inappropriate speech, and lethargy/social withdrawal; YBOCS; PedsQL; response rate; and CGSQ","Significant improvements over placebo on CGI-I scores. Positive results on the ABC hyperactivity, stereotypy, and inappropriate speech subscales. Greater improvement in PedsQL and CGSQ scales. "
"6","secondary","Hyperactivity, stereotypy, inappropriate speech. Quality of life.","CGI-I; ABC- hyperactivity, stereotypy, inappropriate speech, and lethargy/social withdrawal; YBOCS; PedsQL; response rate; and CGSQ","Significant improvements over placebo on CGI-I scores. Positive results on the ABC hyperactivity, stereotypy, and inappropriate speech subscales. Greater improvement in PedsQL and CGSQ scales. "
"7","secondary","Hyperactivity, stereotypy, inappropriate speech. Quality of life.","CGI-I; ABC- hyperactivity, stereotypy, inappropriate speech, and lethargy/social withdrawal; YBOCS; PedsQL; response rate; and CGSQ","Significant improvements over placebo on CGI-I scores. Positive results on the ABC hyperactivity, stereotypy, and inappropriate speech subscales. Greater improvement in PedsQL and CGSQ scales. "
"8","secondary","Hyperactivity, stereotypy, inappropriate speech. Quality of life.","CGI-I; ABC- hyperactivity, stereotypy, inappropriate speech, and lethargy/social withdrawal; YBOCS; PedsQL; response rate; and CGSQ","Significant improvements over placebo on CGI-I scores. Positive results on the ABC hyperactivity, stereotypy, and inappropriate speech subscales. Greater improvement in PedsQL and CGSQ scales. "
"9","secondary","","",""
"10","secondary","Metabolic/physical measures","blood samples for: biochemistry profiles, lipid concentrations, hematologic indices, prolactin, and DNA profiling (genetic polymorphisms); SAS, AIMS, BARS","metabolic & physical measures: No treatment differences in blood chemistry, except prolactin. Prolactin levels increased in the risperidone group, decreased in the aripiprazole group. Weight gain was higher in the risperidone group initially, but the difference became insignificant through the extension phase."
"11","secondary","Attention and hyperactivity."," Clinical Global Impression of ADHD-score and Conners Teacher Rating Scale-Revised: Short Form score (CTRS-R:S)","The hyperactivity subscore imrpoved significantly, but not the other CTRS-R:S scores. There were not comparable improvements on the CGI-I scores. "
"12","secondary","Attention and hyperactivity."," Clinical Global Impression of ADHD-score and Conners Teacher Rating Scale-Revised: Short Form score (CTRS-R:S)","The hyperactivity subscore imrpoved significantly, but not the other CTRS-R:S scores. There were not comparable improvements on the CGI-I scores. "
"13","secondary","Attention and hyperactivity."," Clinical Global Impression of ADHD-score and Conners Teacher Rating Scale-Revised: Short Form score (CTRS-R:S)","The hyperactivity subscore imrpoved significantly, but not the other CTRS-R:S scores. There were not comparable improvements on the CGI-I scores. "
"11","secondary","Hyperactivity ","CGI of ADHD improvement and CTRS-R:S scores","CTRS-R:S hyperactivity subscore improved w/ atomoxetine, no other subscores. No significant improvement on CGI-I. "
"12","secondary","Hyperactivity ","CGI of ADHD improvement and CTRS-R:S scores","CTRS-R:S hyperactivity subscore improved w/ atomoxetine, no other subscores. No significant improvement on CGI-I. "
"13","secondary","Hyperactivity ","CGI of ADHD improvement and CTRS-R:S scores","CTRS-R:S hyperactivity subscore improved w/ atomoxetine, no other subscores. No significant improvement on CGI-I. "
"11","secondary","","",""
"12","secondary","","",""
"13","secondary","","",""
"14","secondary","","ABC-C: all other subscales. ","Pts treated with Baclofen and Risperidone had a greater improvement effect on hyperactivity symptoms than placebo and risperidone. The baclofen + risperidone group, showed significantly greater improvement in all ABC subscales (irritability, lethargy, stereotypic behavior, hyperactivity, and inappropriate speech)"
"15","secondary","","ABC-C: all other subscales. ","Pts treated with Baclofen and Risperidone had a greater improvement effect on hyperactivity symptoms than placebo and risperidone. The baclofen + risperidone group, showed significantly greater improvement in all ABC subscales (irritability, lethargy, stereotypic behavior, hyperactivity, and inappropriate speech)"
"14","secondary","Lethargy/social withdrawal, stereotypy, and hyperactivity/noncompliance","ABC-C: all other subscales. ","Baclofen and risperidone treatment showed improvement on all subscales of the ABC (highest on hyperactivity)"
"15","secondary","Lethargy/social withdrawal, stereotypy, and hyperactivity/noncompliance","ABC-C: all other subscales. ","Baclofen and risperidone treatment showed improvement on all subscales of the ABC (highest on hyperactivity)"
"16","secondary","Social communication","Vineland-II ABC; PedsQL; ABC lethargy/social withdrawal; CGI-I; CGI-S","No significant improvement in any secondary outcome measures."
"17","secondary","ASD severity","CGI and ADOS scores","ADOS and CGI scores decreased moderately for the bumetanide treatment group, however it this treatment was less efficient with patients severely affected by autism. "
"18","secondary","ASD severity","CGI and ADOS scores","ADOS and CGI scores decreased moderately for the bumetanide treatment group, however it this treatment was less efficient with patients severely affected by autism. "
"19","secondary","ASD severity","CGI and ADOS scores","ADOS and CGI scores decreased moderately for the bumetanide treatment group, however it this treatment was less efficient with patients severely affected by autism. "
"17","secondary","ASD severity","ADOS, SRS, and CGI-I; Exploratory: GABA and glutamate concentrations within the IC","Bumetanide treatment was better at reducing insular GABA. No significant treatment group difference in ADOS scores. The bumetanide group had more CGI-I responders."
"18","secondary","ASD severity","ADOS, SRS, and CGI-I; Exploratory: GABA and glutamate concentrations within the IC","Bumetanide treatment was better at reducing insular GABA. No significant treatment group difference in ADOS scores. The bumetanide group had more CGI-I responders."
"19","secondary","ASD severity","ADOS, SRS, and CGI-I; Exploratory: GABA and glutamate concentrations within the IC","Bumetanide treatment was better at reducing insular GABA. No significant treatment group difference in ADOS scores. The bumetanide group had more CGI-I responders."
"17","secondary","Severity of restricted and repetitive behaviors, and behavioral responses to sensory stimuli","RBS-R; Sensory Profile (SP-NL); ABC-irritability","Significant treatment-by-sex effect on RBS-R. No effect on the SP-NL or ABC-I scores. "
"18","secondary","Severity of restricted and repetitive behaviors, and behavioral responses to sensory stimuli","RBS-R; Sensory Profile (SP-NL); ABC-irritability","Significant treatment-by-sex effect on RBS-R. No effect on the SP-NL or ABC-I scores. "
"19","secondary","Severity of restricted and repetitive behaviors, and behavioral responses to sensory stimuli","RBS-R; Sensory Profile (SP-NL); ABC-irritability","Significant treatment-by-sex effect on RBS-R. No effect on the SP-NL or ABC-I scores. "
"20","secondary","","",""
"21","secondary","","RBS, Anxiety Composite, ADOS-SA and ADOS-RRB, CYBOCS, Vineland communication domain","ADOS-SA scores showed significant improvement with time. No difference between treatment groups. ADOS-RRB scores showed significant improvement in the 2.5mg treatment group. No change in scores for the placebo and 5.0mg groups. "
"22","secondary","Social behavior, parent stress","SRS-2; Autism Parenting Stress Index (APSI)","APSI did not have a treatment effect for cannabinoid compared to placebo groups. The median SRS total score improved more in cannibinoid group than placebo (p=0.009). "
"23","secondary","Social communication, stereotypic behavior, hyperactivity/noncompliance","ABC-C: all other subscales. ","Combination of risperidone and celecoxib showed greater improvement in lethargy/social withdrawal, and stereotypic behavior. No significant improvement in hyperactivity/noncompliance or inappropriate speech."
"24","secondary","Repetitive/obsessive behaviors."," Children's Yale-Brown Obsessive Compulsive Scale scores","No difference in score reduction between the placebo and citalopram treatment groups. "
"25","secondary","GI symptoms, night-time sleeping quality, and food variety","Additional Rating Scale: GI symptoms (quality of stools, abdominal pain, presence of diarrhea, constipation), food variety score (range of foods eaten), sleep quality score","No improvement in GI symptoms or sleep quality. Food variety score increased for the enzyme treatment (p=0.02; confidence interval: 0.03-0.37)"
"26","secondary","Irritability.","OAS-M Irritability subscale and the CYBOCS. Exploratory measures: Vineland adaptive behavior scale, YMRS, and EEG","No remarkable results for secondary or exploratory measures. No significant difference in treatment groups for OAS-M,  CYBOCS, Vineland scores, or CGI-I scores. "
"27","secondary","","","Decrease in overall autistic bx in tx group"
"28","secondary","","","Decrease in overall autistic bx in tx group"
"27","secondary","","",""
"28","secondary","","",""
"29","secondary","Hyperactivity, motor abnormalities, cognition, social, and affectual responses","parent and teacher ratings of hyperactivity","Hyperserotonemic and normoserotonemic participants response did not differ. Significant improvement in motor abnormalities and parent reported hyperactivity, but no p values were reported. No treatment related effect on abnormal social and affectual responses, or cognition."
"30","secondary","Hyperactivity, motor abnormalities, cognition, social, and affectual responses","parent and teacher ratings of hyperactivity","Hyperserotonemic and normoserotonemic participants response did not differ. Significant improvement in motor abnormalities and parent reported hyperactivity, but no p values were reported. No treatment related effect on abnormal social and affectual responses, or cognition."
"29","secondary","Motor activity, anxiety, mood disturbances, and distractability (responsiveness).","","6 children were classified as responders to fenfluramine."
"30","secondary","Motor activity, anxiety, mood disturbances, and distractability (responsiveness).","","6 children were classified as responders to fenfluramine."
"31","secondary","Global severity, irritability, depression","ABC irritability; Hamilton Depression Rating Scale (HAM-D); CGI improvement of overall symptoms","ABC irritability score changes were not significant. CGI improvement on global measures was more significant in the fluoxetine group. "
"32","secondary","Global severity, irritability, depression","ABC irritability; Hamilton Depression Rating Scale (HAM-D); CGI improvement of overall symptoms","ABC irritability score changes were not significant. CGI improvement on global measures was more significant in the fluoxetine group. "
"33","secondary","Global severity, irritability, depression","ABC irritability; Hamilton Depression Rating Scale (HAM-D); CGI improvement of overall symptoms","ABC irritability score changes were not significant. CGI improvement on global measures was more significant in the fluoxetine group. "
"34","secondary","Global severity, irritability, depression","ABC irritability; Hamilton Depression Rating Scale (HAM-D); CGI improvement of overall symptoms","ABC irritability score changes were not significant. CGI improvement on global measures was more significant in the fluoxetine group. "
"31","secondary","","fMRI during a reward reversal task -- medial prefrontal cortex activilty in ADHD","Fluoxetine tx resulted in a reduction of activation in mPFC in pts with ADHD. "
"32","secondary","","fMRI during a reward reversal task -- medial prefrontal cortex activilty in ADHD","Fluoxetine tx resulted in a reduction of activation in mPFC in pts with ADHD. "
"33","secondary","","fMRI during a reward reversal task -- medial prefrontal cortex activilty in ADHD","Fluoxetine tx resulted in a reduction of activation in mPFC in pts with ADHD. "
"34","secondary","","fMRI during a reward reversal task -- medial prefrontal cortex activilty in ADHD","Fluoxetine tx resulted in a reduction of activation in mPFC in pts with ADHD. "
"31","secondary","Anxiety and reactivity.","RBS-R, Spence Children's Anxiety Scale, ABC-Community, CGI-Global Improvement and Efficacy Index, Disruptiveness Assessment, Adverse events ","No significant differences in the fluoxetine and placebo groups. "
"32","secondary","Anxiety and reactivity.","RBS-R, Spence Children's Anxiety Scale, ABC-Community, CGI-Global Improvement and Efficacy Index, Disruptiveness Assessment, Adverse events ","No significant differences in the fluoxetine and placebo groups. "
"33","secondary","Anxiety and reactivity.","RBS-R, Spence Children's Anxiety Scale, ABC-Community, CGI-Global Improvement and Efficacy Index, Disruptiveness Assessment, Adverse events ","No significant differences in the fluoxetine and placebo groups. "
"34","secondary","Anxiety and reactivity.","RBS-R, Spence Children's Anxiety Scale, ABC-Community, CGI-Global Improvement and Efficacy Index, Disruptiveness Assessment, Adverse events ","No significant differences in the fluoxetine and placebo groups. "
"31","secondary","global improvement","CGIS-AS","No improvement in CGIS-AS. "
"32","secondary","global improvement","CGIS-AS","No improvement in CGIS-AS. "
"33","secondary","global improvement","CGIS-AS","No improvement in CGIS-AS. "
"34","secondary","global improvement","CGIS-AS","No improvement in CGIS-AS. "
"35","secondary","","",""
"36","secondary","","",""
"37","secondary","","",""
"35","secondary","Core features of autism and adverse effects","Behavior Assessment Scale (BAS); CGI for different genotypes; adverse effects measured by blood biochemistry","For the BAS, 10 out of 18 patients ""responded"" to fluvoxamine treatment. ""Clinical global effectiveness was noted significantly more in the l allele than in the s allele."""
"36","secondary","Core features of autism and adverse effects","Behavior Assessment Scale (BAS); CGI for different genotypes; adverse effects measured by blood biochemistry","For the BAS, 10 out of 18 patients ""responded"" to fluvoxamine treatment. ""Clinical global effectiveness was noted significantly more in the l allele than in the s allele."""
"37","secondary","Core features of autism and adverse effects","Behavior Assessment Scale (BAS); CGI for different genotypes; adverse effects measured by blood biochemistry","For the BAS, 10 out of 18 patients ""responded"" to fluvoxamine treatment. ""Clinical global effectiveness was noted significantly more in the l allele than in the s allele."""
"35","secondary","","",""
"36","secondary","","",""
"37","secondary","","",""
"38","secondary","","OACIS, VABS, ABC, SRS, BASC, AIM, and ASQ","The daily living skills on the VABS and internalizing problems on the BASC significantly improved. Improvement in irritability, lethargy, stereotyped bx, hyperactivity, inappropriate speech, and total score on ABC. ASQ stereotypic bx and total score improvement."
"39","secondary","Lethargy/social withdrawal, stereotypy, and hyperactivity/noncompliance","ABC-C: all other subscales. ",""
"40","secondary","","",""
"40","secondary","Irritability","","Significant improvements in irritability. "
"41","secondary","Side effects","Side effect check list","No difference in frequency or types of side effects between groups. "
"42","secondary","","Clinical Global Impressions-Improvement (CGI Scores) and the ADHD Rating Scale scores","Guanfacine showed more improvement than placebo  in the ADHD Rating Scale scores, as well as, a higher rate of positive response on the CGI scores. There was a 50% positive response in the treated group compared to 9.4% in the placebo. "
"43","secondary","","",""
"44","secondary","","",""
"43","secondary","","",""
"44","secondary","","",""
"45","secondary","Social, obsessive behaviors, and emotional states. ","Social Responsiveness Scale, Reading-the-Mind-in-the-Eyes Test and Yale Brown Obsessive Compulsive Scale - compulsion subscale, and quality of life (World Health Organization Quality of Life Questionnaire - emotional/social subscales)","Improvements in the measurements of social cognition, Reading-the-Mind-in-the-Eyes Test and quality of life. "
"46","secondary","Social, obsessive behaviors, and emotional states. ","Social Responsiveness Scale, Reading-the-Mind-in-the-Eyes Test and Yale Brown Obsessive Compulsive Scale - compulsion subscale, and quality of life (World Health Organization Quality of Life Questionnaire - emotional/social subscales)","Improvements in the measurements of social cognition, Reading-the-Mind-in-the-Eyes Test and quality of life. "
"45","secondary","","Treatment efficacy in nonsocial symptom domains and OXT safety/tolerability. ",""
"46","secondary","","Treatment efficacy in nonsocial symptom domains and OXT safety/tolerability. ",""
"47","secondary","","",""
"48","secondary","","",""
"49","secondary","Aggression, affective instability, repetitive behaviors, impulsivity, and hyperactivity","ABC parent and teacher ratings; CY-BOCS; Conners' Rating Scale-Revised: Long version for parent and teacher","No significant change in any secondary measures."
"50","secondary","","Serum free-carnitine. Autism Treatment Evaluation Checklist (ATEC), treatment adherence measurement (TAM), frequency and intensity of side effect rating (FISER)/global rating of side effect burden (GRSEB)/patient report of incidence of side effects (PRISE) forms","""Significant correlations between increasing serum free-carnitine levels and positive outcomes on clinical measurements"""
"51","secondary","Maladaptive behavior","RBS-R; ABC-C total",""
"52","secondary","Obsessive compulsive behaviors.","CGI-I; CGI-S; CY-BOCS Compulsions; CGSQ global strain","""Significantly greater improvement was observed at endpoint on the CGI-I scale for the lurasidone 20mg/day group compared with the placebo group"". No improvements on any of the other secondary outcome measures. "
"53","secondary","","Repetitive Behavior Scale, the Abberant Behavior Checklist, the Social Responsiveness Scale, and target symptom assessment","No significant improvements on any secondary measure. "
"54","secondary","Sleep variables: Total sleep time (TST); sleep efficiency (SE); changes in aberrant behaviors","Number of awakenings after sleep onset, wakening time after sleep onset, ABC","TST and the number of wakenings did not change in any melatonin groups. SE improved significantly in the 4-mg group. In the 1-mg melatonin group, wakening time after sleep onset extended significantly. No changes in ABC. "
"55","secondary","Lethargy/social withdrawal, stereotypy, and hyperactivity/noncompliance","ABC-C: all other subscales. ","Significantly greater reduction in scores for hyperactivity and stereotypic bx."
"56","secondary","Neurocognitive measures (memory, adaptive behavior, overall cognitive functioning)","Narrative Memory-Recognition; ABC","Memantine treatment associated with improvement in verbal recognition memory and verbal IQ."
"57","secondary","","CATS-I total score and subscales; CCC-2; ","No significant differences in CATS-I or CCC-2 scores. "
"58","secondary","Changes in body composition and metabolic variables","Body variables: absolute and relative change in weight, absolute BMI, abdominal and hip circumference; fasting metabolic variables ","No significant changes in metabolic variables for metformin or placebo groups. "
"59","secondary","Hyperactivity, stereotypy, inappropriate speech, lethargy/social withdrawal.","Parent-rated ABC hyperactivity subscale, and other ABC subscales; rate of 'responders' (classified by much/very improved on CGI-I and 30% decrease in ABC hyperactivity scores)","Significant main effect on parent-rated ABC hyperactivity scale scores (F=6.10; P<.001). Parent-rated lethargy/social withdrawal subscale scores were significantly worse than placebo. Improvements in stereotypy and inappropriate speech at medium dosage. 49% of subjects were responders."
"60","secondary","Hyperactivity, stereotypy, inappropriate speech, lethargy/social withdrawal.","Parent-rated ABC hyperactivity subscale, and other ABC subscales; rate of 'responders' (classified by much/very improved on CGI-I and 30% decrease in ABC hyperactivity scores)","Significant main effect on parent-rated ABC hyperactivity scale scores (F=6.10; P<.001). Parent-rated lethargy/social withdrawal subscale scores were significantly worse than placebo. Improvements in stereotypy and inappropriate speech at medium dosage. 49% of subjects were responders."
"61","secondary","Hyperactivity, stereotypy, inappropriate speech, lethargy/social withdrawal.","Parent-rated ABC hyperactivity subscale, and other ABC subscales; rate of 'responders' (classified by much/very improved on CGI-I and 30% decrease in ABC hyperactivity scores)","Significant main effect on parent-rated ABC hyperactivity scale scores (F=6.10; P<.001). Parent-rated lethargy/social withdrawal subscale scores were significantly worse than placebo. Improvements in stereotypy and inappropriate speech at medium dosage. 49% of subjects were responders."
"62","secondary","Hyperactivity, stereotypy, inappropriate speech, lethargy/social withdrawal.","Parent-rated ABC hyperactivity subscale, and other ABC subscales; rate of 'responders' (classified by much/very improved on CGI-I and 30% decrease in ABC hyperactivity scores)","Significant main effect on parent-rated ABC hyperactivity scale scores (F=6.10; P<.001). Parent-rated lethargy/social withdrawal subscale scores were significantly worse than placebo. Improvements in stereotypy and inappropriate speech at medium dosage. 49% of subjects were responders."
"59","secondary","Severity","CARS; ABC",""
"60","secondary","Severity","CARS; ABC",""
"61","secondary","Severity","CARS; ABC",""
"62","secondary","Severity","CARS; ABC",""
"59","secondary","ADHD symptoms","Swanson, Nolan, and Pelham Questionnaire (SNAP-IV-Teacher); ADD-H Comprehensive Teacher Rating Scale (ACTeRS); Conner's Global Index-Teacher and Parent; ABC-Teacher; CGI-Improvement and CGI-severity); Conners' Parent Rating Scale (CPRS-R); Parent SNAP-IV; Parent ABC; Parent VAS","Methylphenidate treatment decreased hyperactive and impulsive behavior at school and home. Treatment also decreased inattentive and oppositional behavior at home, as well as, increased social skills. "
"60","secondary","ADHD symptoms","Swanson, Nolan, and Pelham Questionnaire (SNAP-IV-Teacher); ADD-H Comprehensive Teacher Rating Scale (ACTeRS); Conner's Global Index-Teacher and Parent; ABC-Teacher; CGI-Improvement and CGI-severity); Conners' Parent Rating Scale (CPRS-R); Parent SNAP-IV; Parent ABC; Parent VAS","Methylphenidate treatment decreased hyperactive and impulsive behavior at school and home. Treatment also decreased inattentive and oppositional behavior at home, as well as, increased social skills. "
"61","secondary","ADHD symptoms","Swanson, Nolan, and Pelham Questionnaire (SNAP-IV-Teacher); ADD-H Comprehensive Teacher Rating Scale (ACTeRS); Conner's Global Index-Teacher and Parent; ABC-Teacher; CGI-Improvement and CGI-severity); Conners' Parent Rating Scale (CPRS-R); Parent SNAP-IV; Parent ABC; Parent VAS","Methylphenidate treatment decreased hyperactive and impulsive behavior at school and home. Treatment also decreased inattentive and oppositional behavior at home, as well as, increased social skills. "
"62","secondary","ADHD symptoms","Swanson, Nolan, and Pelham Questionnaire (SNAP-IV-Teacher); ADD-H Comprehensive Teacher Rating Scale (ACTeRS); Conner's Global Index-Teacher and Parent; ABC-Teacher; CGI-Improvement and CGI-severity); Conners' Parent Rating Scale (CPRS-R); Parent SNAP-IV; Parent ABC; Parent VAS","Methylphenidate treatment decreased hyperactive and impulsive behavior at school and home. Treatment also decreased inattentive and oppositional behavior at home, as well as, increased social skills. "
"59","secondary","","AIMS",""
"60","secondary","","AIMS",""
"61","secondary","","AIMS",""
"62","secondary","","AIMS",""
"63","secondary","","",""
"64","secondary","Reactivity and avoidance. ","RBS-R, SAAM, IPPA, WHO-QOL","Avoidance was lower in the oxytocin group for T1, T2, and T3. RBS-R scores were lower at T1, T2, and T3. "
"65","secondary","Social behaviors."," Vineland Adaptive Behavior Scales, Social Communication Questionnaire, and clinician-administered Autism Diagnostic Observation Schedule","No differences in the scores for NAC and placebo groups. "
"66","secondary","Hyperactivity","CPRS","Significant improvement in hyperactivity."
"67","secondary","Hyperactivity","CPRS","Significant improvement in hyperactivity."
"66","secondary","","",""
"67","secondary","","",""
"68","secondary","Stereotypic and repetitive behaviors","CY-BOCS and OAS-M","No differences between tx groups."
"69","secondary","","ABC Irritability, Stereotypy, Lethargy, Inappropriate speech; PPVT; EVT; SRS; BASC; ","No statistically significant changes in scores. "
"70","secondary","Social and repetitive/stereotypic behaviors. ","ABC-Stereotypy subscale, Repetitive Behavior Scale - Revised (RBS-R), Social Responsiveness Scale (SRS), and CGI-I ","NAC treatment resulted in improvement of stereotypic/repetitive behvaior on the ABC and significant improvement on the RBS-Stereotypies. No significant difference in the SRS. "
"71","secondary","Social functioning","SRS-2 Social Motivation subscale (SRS-2-SM); Sociability Factor; and SB5 Abbreviated IQ","No significant difference between treatment groups."
"72","secondary","","ADOS repetitive behavior, duration of gaze fixation","Oxt treatment reduced ADOS repetitive behavior scores and duration of gaze fixation in social regions. "
"73","secondary","","none",""
"74","secondary","","",""
"75","secondary","GI Symptoms, urine spectra profiles, fecal samples, sleep","abdominal pain, bowel movement, bloating, flatulence, and stool form; urine samples; stool samples; sleep diary","B-GOS led to significant alterations in urine spectra profiles and metabolic shifts in fecal samples. No significant change in GI symptoms or sleep patterns. "
"76","secondary","","Gut microbiota analysis, PRAS-ASD, and parent-selected target symptoms",""
"79","secondary","","Gut microbiota analysis, PRAS-ASD, and parent-selected target symptoms",""
"77","secondary","","gut microbiota analysis, the parent-rated anxiety scale for ASD, and parent-selected target symptoms",""
"78","secondary","","gut microbiota analysis, the parent-rated anxiety scale for ASD, and parent-selected target symptoms",""
"77","secondary","Adaptive functioning, social behaviors, severity of GI symptoms, restricted and repetitive behaviors","VABS-II; Total GSI; SCQ; RBS-R; CBCL 1, 5-5; PSI; Plasma levels of leptin, TNF-a, IL-6, PAI-1, and fecal calprotectin levels","Greater improvement in GI symptoms, adaptive functioning, and sensory profiles with probiotic supplementation. "
"78","secondary","Adaptive functioning, social behaviors, severity of GI symptoms, restricted and repetitive behaviors","VABS-II; Total GSI; SCQ; RBS-R; CBCL 1, 5-5; PSI; Plasma levels of leptin, TNF-a, IL-6, PAI-1, and fecal calprotectin levels","Greater improvement in GI symptoms, adaptive functioning, and sensory profiles with probiotic supplementation. "
"76","secondary","GI Symptoms","",""
"79","secondary","GI Symptoms","",""
"80","secondary","Core symptoms","SNAP-IV Chinese version; CGI-I","PS128 group showed nominal improvements in SNAP-IV-hyperactivity/impulsivity, oppoition/defiance, and SNAP-IV-total score (greater improvement in younger subjects, 7-12 yrs). No between-group difference in CGI-I or SNAP-IV inattention."
"81","secondary","","",""
"82","secondary","Sleep latency. ","Sleep latency, duration of wake after sleep onset, mean number of awakenings, and mean longest sleep episode ","Sleep latency decreased by 39.6 minutes with PedPRM, without earlier wake up time. "
"83","secondary","Uncontrolled seizures","Uncontrolled seizures","Only 1 out of 11 patients with seizures did propranolol show improvement. "
"84","secondary","Potential moderators","VABS-II and gender","Baseline adaptive functioning and gender possibly moderated effects of rTMS. More severe adaptive functioning deficits at baseline showed more improvement with rTMS. Spatial working memory showed greater improvement in females than in males. "
"85","secondary","","",""
"86","secondary","Hyperactivity/non-compliance, lethargy/social withdrawal, stereotypy, and inappropriate speech","ABC-C (all subscales)","Significant time x treatment effect on hyperactivity/non-compliance for the resveratrol group compared to placebo. No time x treatment differences in ABC lethargy/social withdrawal, stereotypic behaviour, and imappropriate speech subscales."
"87","secondary","","",""
"88","secondary","Lethargy/social withdrawal, stereotypy, and hyperactivity/noncompliance","Other ABC-C subscales and CGI-I scores","The riluzole group showed greater improvement on ABC-C lethargy/social withdrawal (p=0.02), stereotypic behavior (p=0.03), and hyperactivity/non-compliance (p=0.005) scales. The riluzole pts also showed more clinical improvement on CGI-I. No improvement on the inappropriate speech scale. "
"89","secondary","","",""
