treatment_name,liquid_available,odt_available,first_author,doi,commercial_affiliation,publication_date,journal,study_type,duration,sample_size,gender_ratio,age_range,dose_range,primary_outcome_area,primary_outcome_measures,primary_results,secondary_outcome_area,secondary_outcome_measures,secondary_results,side_effects,safety_rating,dropout_rate,race_ethnicity,notes,sequence_generation_bias,allocation_concealment_bias,outcome_assessor_blinding_bias,clinician_blinding_bias,attrition_bias,reporting_bias,bias_notes
Digestive enzyme supplementation,,,"Munasinghe, Sujeeva",,"The authors did not state conflicts or interest, nor no conflicts of interest.",March 2010,Journal of Autism & Developmental Disorders,Randomized Double-blind Placebo Controlled  - Crossover,6 months,43,"21 M (seq 1), 22 M (seq 2)",3-8 y,2 capsules with each meal (1 capsule recommended to be given with snacks containing gluten or casein),Behavior and communication skills,Global Behaviour Rating Scale (GBRS); Language Development Survery (LDS); Therapist Rating Scale (therapist engagement),"No effect of enzyme treatment on LDS vocabulary or sentence complexity scores, parent behaviour, or therapist engagement. ","GI symptoms, night-time sleeping quality, and food variety","Additional Rating Scale: GI symptoms (quality of stools, abdominal pain, presence of diarrhea, constipation), food variety score (range of foods eaten), sleep quality score",No improvement in GI symptoms or sleep quality. Food variety score increased for the enzyme treatment (p=0.02; confidence interval: 0.03-0.37),,,n-16 (10 enzyme),not reported,,low risk - computer based randomization,"low risk - Capsules were identical in size and outer cover, ""as close as possible in taste and smell"". Pharmacist provided capsules and bottles were dispensed by blinded researchers.",low risk - Clinical assessors were blinded to allocation. ,low risk - Participants and families blinded to sequence allocation. ,,,
Divalproex sodium,Yes (cherry),Yes,Hollander,,,2006,,Randomized Double-blind Placebo Controlled ,,13,not noted,,"500-1500 mg/d (m: 822.92 mg/d, SD: 326.1)",,C-YBOCS,,,,,,,,,,,,,,,,
Divalproex Sodium (Valproate),Yes (cherry),Yes,"Hollander, Eric",10.1038/npp.2009.202,"Consultation fees from Abbott, neuropharm, Nastech, BMS, and Forest. Hollander has intellectual property related to oxytocin and memantine. InteGragen, and USB Pharma. ","December 9, 2009",Neuropsychopharmacology,Randomized Double-blind Placebo Controlled  ,12 weeks,27,23 M: 4 F,5-15 y; Mean: 9.5 y,Titrated up according to body weight. Minimum level was 50ug/ml. 125mg po QH5-250mg po BID for <40kg. 250 mg po QHS-500mg po BID for >40kg,Irritability,"CGI-I for irritability and ABC-Community, Irritability subscale","CGI Scores indicate that ""subjects receiving treatment with divalproex sodium are over 16 times more likely to respond to treatment than... placebo"".  Significant weeks x condition interaction on the ABC-I. The effects seem stronger in the tx groups, as the ABC-I scores dropped significantly more than the placebo group. ",Irritability.,"OAS-M Irritability subscale and the CYBOCS. Exploratory measures: Vineland adaptive behavior scale, YMRS, and EEG","No remarkable results for secondary or exploratory measures. No significant difference in treatment groups for OAS-M,  CYBOCS, Vineland scores, or CGI-I scores. ","Insomnia, weight gain, headache, rash, polyuria, and agitation. Side effects ranging from mild to moderate intensity. ",One child with significant weight gain. Very good safety profile. No serious Aes. ,"n=3 (2 withdrew for side effects, 1 for nonefficacy)",8 White non-hispanic; 6 Hispanic; 6 Black; 3 Asian; 2 Other; 2 More than one race,,Unclear risk - method of sequence generation not described,Unclear risk - method of allocation not reported,Low risk (blinding of personnel) - Efficacy measured by an independent evaluator. ,Low risk - All clinicians involved in measuring safety and efficacy were blinded. ,Low risk ,Low risk,
Donepezil,No,Yes,"Chez, MG",,,2003,Journal of Pediatric Neurology,Randomized Double-blind Placebo Controlled ,6 weeks,43,,Mean: 6.8 y,,Speech,,Improvements in expressive and repetitive speech,,,Decrease in overall autistic bx in tx group,Diarrhea and stomach cramps ,,,,,,,,,,,
Donepezil,No,Yes,"Handen, BL",,,2011,Journal of Adolescent Psychopharmacology,Randomized Double-blind Placebo Controlled ,10 weeks,34,,8-17 y,5-10 mg/d,,,No significant improvements in the donepezil tx group compared to the placebo group.,,,,,No serious adverse events. ,,,,,,,,,,
Fenfluramine,,,"Leventhal, BL",10.1176/jnp.5.3.307,,1993,The Journal of Neuropsychiatry and Clinical Neurosciences,double-blind placebo-controlled crossover trial,62 weeks,15,,,60 mg/d,Neurochemical effects and behavior,Ritvo-Freeman Real Life Rating Scale; neurochemical plasma levels ,No significant improvement in behavior. Changes in catecholamine regulation might be related to fenfluramine in plasma. Increase in DOPAC. Decreases in whole-blood 5-HT during trial. Decreases in plasma NE until as long as 8 weeks after trial.  ,"Hyperactivity, motor abnormalities, cognition, social, and affectual responses",parent and teacher ratings of hyperactivity,"Hyperserotonemic and normoserotonemic participants response did not differ. Significant improvement in motor abnormalities and parent reported hyperactivity, but no p values were reported. No treatment related effect on abnormal social and affectual responses, or cognition.",Weight loss,,,,https://europepmc.org/article/med/8369641,Unclear adequacy and risk,Unclear adequacy and risk,"Unclear risk - Used the term ""double blinding"" in reference to all blinding. ",Low risk ,Unclear risk ,Unclear risk ,
Fenfluramine,,,"Barthelemy, C.",,,June 1989,Journal of Autism & Developmental Disorders,,3 months,13,,,1.5 mg/kg/d ,Urinary dopamine metabolities ,"Responsiveness to fenfluramine and associated urinary levels of serotonin, dopamine (DA), and DA metabolites: HVA and Dihydroxyphenylacetic acid (DOPAC)",Both placebo and fenfluramine treatment groups showed a significant decrease of of 5-HT in urine. Fenfluramine increased HVA levels (major metabolite of dopamine) in responders. The clinical response to fenfluramine treatment could be related to dopaminergic action of this medication and urinary levels of dopamine metabolites could indicate this responsiveness.,"Motor activity, anxiety, mood disturbances, and distractability (responsiveness).",,6 children were classified as responders to fenfluramine.,,,n=0,,,Unclear adequacy and risk ,Unclear adequacy and risk,Unclear risk - Did not report if outcome assessors were blinded. ,Low risk - Reported blinding of participants and treating physicians. ,Low risk - No loss to follow up. ,Unclear risk - Trial did report negative outcomes. Trial did not report all outcome measures and was not preregistered. ,
Fluoxetine,Yes,Yes (cherry),"Hollander, Eric",,Two authors consulted for Neuropharm. Dr. Hollander has consulted for Abbott and Forest Dr. Anagnostou has consulted to Novartis and Proximagen. ,March 2012,The American Journal of Psychiatry  ,Randomized Double-blind Placebo Controlled ,12 weeks,37,26 M: 11 F,"18-60 y, Mean: 34 y",20-80 mg/d; mean: 64.76 mg/d,Repetitive behaviors.,Yale Brown Obessive Compulsive Scale (YBOCS); CGI improvement for repetitive behaviors,Fluoxetine resulted in 'significantly greater improvements in repetitive behaviors'. ,"Global severity, irritability, depression",ABC irritability; Hamilton Depression Rating Scale (HAM-D); CGI improvement of overall symptoms,ABC irritability score changes were not significant. CGI improvement on global measures was more significant in the fluoxetine group. ,"Well tolerated. Few side effects were observed. Side effects included, bad/vivid dreams, mild insomnia, dry mouth, and headaches. ","Side effects were mild to moderate. Suicidal ideation was uncommon in both groups, and no suicide attempts were reported.  No serious adverse events. ",n=4 ,73% White; 11% Black; 3% Asian; 5% Hispanic; 8% Other ,,Unclear risk - randomization method not reported,"Low risk - Placebo and fluoxetine were identical, both groups were titrated up with the fluoxetine/placebo capsules. ",Low risk - All outcome assessors were blinded,Low risk - All clinicians and participants were blinded.,Unclear risk - Scores for all measures except for HAM-D were reported. ,"Unclear risk - Baseline and endpoint scores for ABC-irritability were not reported, p value reported (p=0.15), which was insignificant. Scores that were favorable for fluoxetine were reported. HAM-D scores were not reported, so it is unknown whether there was no difference or if there was an increase in either group. ",
Fluoxetine,Yes,Yes (cherry),"Chantiluke, Kaylita",,"K.R. received funding from Lilly for another project and speaker's honoraria from Lilly, Shire, Novartis and Medice. M.B. is a consultant for P1 Vital, Oxford, UK,. ","January 22, 2014",Oxford University Press,Randomized Double-blind Placebo Controlled  , Pts scanned twice after 5 hours after administration. Each scan was 3-4 weeks apart. ~8 weeks,54,100% M,10-17 years ,"8-15 mg. Titrated to age and weight. 10-13 yrs and <30kg: 8mg, >30kg: 10mg; 14-17 yrs and <30kg: 10mg, >30kg: 15mg. ",,fMRI during a reward reversal task -- mPFC (reward) activity in ASD,"In fluoxetine tx ASD pts, mPFC activation was up-regulated and normalized, and decreased insula activation. Fluoxetine has ""disorder-dissociative, inverse modulation effects on a key region of reward reversal"".",,fMRI during a reward reversal task -- medial prefrontal cortex activilty in ADHD,Fluoxetine tx resulted in a reduction of activation in mPFC in pts with ADHD. ,Well tolerated. Side effects not reported. ,No serious Aes. ,"n=10, due to dislike of MRI scanner. ",Not reported. ,"There is an inverse effect on mPFC activation between the 2 disorders, which could point to differences in baseline levels of 5-HT and seratonergic regions. ",,,,,,,
Fluoxetine,Yes,Yes (cherry),"Reddihough, Dinah S. ",,"NHMRC, Royal Children's Hospital Foundation, Shire, Medice, Newron Pharma, Health Tracker Ltd. ","October 22, 2019 ",The Journal of the American Medical Association,Randomized Double-blind Placebo Controlled  - Multisite,16 weeks ,146,85% males; 15% females ,Mean: 11.2 years,"4 or 8 mg/d for the first week, titrated to max dose of 20 or 30 mg/d",Obsessive-compulsive/repetitive behaviors,. Total score on CYBOCS-PDD,Treatment with fluoxetine resulted in significantly lower scores for obsessive-compulsive behaviors at the end of the trial. ,Anxiety and reactivity.,"RBS-R, Spence Children's Anxiety Scale, ABC-Community, CGI-Global Improvement and Efficacy Index, Disruptiveness Assessment, Adverse events ",No significant differences in the fluoxetine and placebo groups. ,"Mood disturbance (irritability), nausea, diarrhea, and sleep disorders. ",2 participants in the placebo group experienced suicidality. No serious Aes in the fluoxetine group. ,n=31 fluoxetine; n=21 placebo,not reported ,"""Interpretation is limited by the high drop out rate, null findings of prespecified analyses that accounted for potentially cofounding factors and baseline imbalances, and CIs for the treatment effect that included the minimal clinically important difference.""",,,,,,,
Fluoxetine,Yes,Yes (cherry),"Hollander, Eric",10.1038/sj.npp.1300627,No commercial affiliations,2005,Neuropsychopharmacology,RPCT - Crossover,16 weeks ,45,,5-16 y,mean final dose: 9.9 mg/d (SD: 4.5 mg),repetitve behaviors and global improvement,CY-BOCS and CGI-AD composite scores,Combined CY-BOCS and CGI-AD scores lead to a trend in a reduction of ASD severity.,global improvement,CGIS-AS,No improvement in CGIS-AS. ,No difference in AE severity or incidence in fluoxetine and placebo groups. Dose reduced due to agitation in 6 fluoxetine treatment participants. ,Generally safe,,,https://www.nature.com/articles/1300627,Unclear risk - method of sequence generation not described,unclear - Allocation concealment method not reported.,Low risk -  Assessors were blinded. ,Low risk - Clinicians and participants were blinded.,High risk - Participants excluded for lack of efficacy and noncompliance with therapy.,"Unclear risk - The trial was not registered before commencement, but negative outcomes were reported.",
Fluvoxamine,No,No,"McDougle, Christopher J. ",,"Abraham Ribicoff Research Facilities, connecticut Mental Health Center, Yale University ",November 1996 ,Arch Gen Psychiatry ,Randomized Double-blind Placebo Controlled  ,12 weeks,30,,Adults (18+),,"Repetitive behaviors, and aggression.","Repetitive thoughts and behaviors, and aggression. Clinical Global Impressions- Improvement (CGI-I)","Fluvoxamine is more effective than placebo in reducing repetitive thoughts and behaviors, maladaptive behavior, and aggression. Improved some aspects of social relatedness. ",,None,N/A,Well tolerated. Side effects of mild sedation and nausea. ,"Generally safe. No dyskinesias, adverse cardio events, or seizures occurred. ",,,,,,,,,,
Fluvoxamine,No,No,"Sugie, Yoko",10.1007/s10803-005-3305-2,,June 2005,Journal of Autism & Developmental Disorders,double-blind Randomized Double-blind Placebo Controlled  - crossover,12 weeks ,18,15 M: 4 F,3-8.4 y (m: 5.3 y),"1 mg/kg/d for 2 weeks, 2 mg/kg/d for 3 weeks, 3 mg/kg/d for 6 weeks, 1.5 mg/kg/d for 2 weeks",Molecular genetic analysis,efficacy of fluvoxamine and serotonin transporter gene (5-HTTLPR) polymorphism,5-HTTLPR long (l) or short (s) alleles might influence fluvoxamine behavior response. ,Core features of autism and adverse effects,Behavior Assessment Scale (BAS); CGI for different genotypes; adverse effects measured by blood biochemistry,"For the BAS, 10 out of 18 patients ""responded"" to fluvoxamine treatment. ""Clinical global effectiveness was noted significantly more in the l allele than in the s allele.""",No significant differences in instances of AEs between groups noted in blood tests. Self reported and clinician reported AEs were not assessed.,No significant adverse events noted.,n=1,,,low risk (adequate) - computer generated randomization,low risk ,Unclear risk - Outcome assessors blinding status not clarified. ,"Unclear risk - Used term ""double blinding"" which is subjective and there is potential for bias. ",Low risk - Reported not using an intention-to-treat analysis. ,High Risk - Only reported effectiveness for genetic subgroups. ,
Fluvoxamine,No,No,,,,,Journal of Autism & Developmental Disorders,Randomized Double-blind Placebo Controlled - Crossover  ,26 weeks,20,15 M: 4 F,3-8 y; mean: 5 y and 4 mo,,Genetic polymorphism in patients w/ autistic disorders,"Three genotypes (1/1, 1/s, s/s) based on Polymerase chain rxn (PCR) products on a stained gel. ",,,,,,,,,,Low risk - Computer generated ,Low risk - Placebo and Fluvoxamine were identical powders,,,,,
Folinic acid (high-dose),,,"Frye, RE",,"EVQ and JMS are inventors in a patent for detecting of the autoantibodies described in this study issued to the Research Foundation of the SUNY. REF and EVQ are members of the advisory board to Illiad Neurosciences, Inc.","October 18, 2016",Molecular Psychiatry,Randomized Double-blind Placebo Controlled ,12 weeks,48,82% M,Mean: 7 y,"5, 10, or 25mg; Max: 50mg/day",Verbal communication.,"Verbal Communication. CELF-preschool-2, CELF-4, PLS-5",Verbal communication improvement was significantly greater in the folinic acid tx group. ,,"OACIS, VABS, ABC, SRS, BASC, AIM, and ASQ","The daily living skills on the VABS and internalizing problems on the BASC significantly improved. Improvement in irritability, lethargy, stereotyped bx, hyperactivity, inappropriate speech, and total score on ABC. ASQ stereotypic bx and total score improvement.","Common side effects: excitement/agitation, insomnia, increased motor activity. No differences between side effects in the folinic acid and placebo groups. ",No serious AEs in the folinic acid group. One child in the placebo group was unblinded and removed due to serious AE. ,n=5,Not reported ,This study suggests that FRAAs predict response to high-dose folinic acid tx. ,,,,,,,
Folinic acid + Risperidone,Yes (risperidone),Yes (risperidone),"Batebi, Neda",,No conflicts of interest.,"October 7, 2020",Child Psychiatry and Human Development,Randomized Double-blind Placebo Controlled ,10 weeks,55,35 M: 20 F,Mean: 13.4 y (SD: 2),"Risperidone- 1-2 mg/d (Flexible based on weight). Under 20 kg max: 1 mg/d, pts 20 kgo max: 2 mg/d, + Folinic acid: 2 mg/kg/d, up to 50 mg/d; or + placebo",Social behaviors and inappropriate speech. ,Inappropriate speech subscale of ABC-C,Inappropriate speech subscale score showed more improvement in the folinic acid group compared to placebo (both w/ risperidone). Significant time x treatment effect on the inappropriate speech subscale.,"Lethargy/social withdrawal, stereotypy, and hyperactivity/noncompliance",ABC-C: all other subscales. ,,Well tolerated. Common side effects: increased appetite and diarrhea. ,No serious adverse events in either tx group. ,n=11,Not reported.,"Both the folinic acid and placebo groups showed improvements in all ABC-C subscales over the course of the treatment, confirming that risperidone is beneficial in relieving ASD symptoms. ",Low risk - Computer generated randomization with microsoft excel,Low risk - Allocations were kept in sealed and confidential envelopes.,"Low risk - ""Placebo capsules were completely indistinguishable to folinic acid, regarding shape, size, color and taste"". ","Low risk - Participants, parents, and researchers were blinded to allocation. ","Low risk - All measurement outcome data was reported in a table, and graphs. ",Low risk - All measurement outcome data was reported including improvements in the placebo group. ,
Galantamine,Yes,No,"Niederhofer, H",,,2002,BMJ,Randomized Double-blind Placebo Controlled ,,20,,Mean: 7.4 y (SD: 3.2),,,ABC,"Significant improvement compared to placebo on the ABC irritability, eye contact, hyperactivity, and inappropriate speech. ",,,,Well tolerated with minimal side effects. ,Generally safe. ,,,,,,,,,,
Galantamine,Yes,No,"Ghaleiha, A",,,2014,Journal of Psychopharmacology,Randomized Double-blind Placebo Controlled ,10 weeks,40,,4-12 y,up to 24 mg/d,Lethargy/social withdrawal.,,Significant improvements in lethargy/social withdrawal. ,Irritability,,Significant improvements in irritability. ,Side effects were similar in the placebo and tx group. Including verbal/bx regression and headaches. ,,,,,,,,,,,
Ginko biloba + Risperidone,,,"Hasanzadeh, Elmira",,No conflicts of interest. ,"March 6, 2012",Child Psychiatry & Human Development,Randomized Double-blind Placebo Controlled  - Pilot,10 weeks,47,39 M: 8 F,4-12 y; mean: 6.4 y (SD: 2.2),"Risperidone: 1-3 mg/d + Gingko: 80 mg/d (pts under 30 kg), 120 mg/d (pts 30 kg); or + placebo",Core symptoms of ASD.,ABC-C ,No subscales showed differences between treatment groups. Ginko adjuvant risperidone did affect treatment outcomes.,Side effects,Side effect check list,No difference in frequency or types of side effects between groups. ,Well tolerated.,Generally safe,n=0,Not reported. No significant demographical differences between tx groups. ,,,,,,,,
Guanfacine (ER),No,No,"Scahill, Lawrence",10.1176/appi.ajp.2015.15010055,"Shire Pharmaceuticals provided guanfacine and placebo. Bracket, Coronado, MedAdvante, Neuren, Roche, and Shire. Seaside Therapeutics. ","August 28, 2015",The American Journal of Psychiatry  ,RCT - multisite,16 Weeks,62,9 F: 53 M,5-14 y; Mean: 8.5 y,1-4 mg/d; mean: 3 mg/d,Hyperactivity,. Aberrant Behavior Checklist- Hyperactivity Subscale (ABC-H),"""Guanfacine was superior to placebo on the parent-rated Aberrant Behavior Checklist-hyperactivity subscale"" A 43.6% decline in the scores of the guanfacine group, compared to a 13.6% decrease in the placebo group. ",,Clinical Global Impressions-Improvement (CGI Scores) and the ADHD Rating Scale scores,"Guanfacine showed more improvement than placebo  in the ADHD Rating Scale scores, as well as, a higher rate of positive response on the CGI scores. There was a 50% positive response in the treated group compared to 9.4% in the placebo. ","Lowered blood pressure was the most common side effect. Nine subjects lowered dosages, because of effects such as, drowsiness, irritability, sleep reduction, or emotion dysregulation (""emotionally fragile or tearful and cranky""). ",Two participants dropped out due to Aes. One child had a serious AE and discountinued guanfacine. He became physically and verbally aggressive towards his mother and hospital personnel.,n=8;  All dropouts due to lack of efficacy.,30 White; 11 Black; Asian; 2 Pacific Islander; 4 Mixed,,"Unclear risk - method of sequence generation not described; ""eligible subjects were randomly assigned within site without stratification in a 1:1 ratio...""",Low risk - Permuted blocks used for allocation concealment. ,,,,,
Haloperidol,Yes,,"Campbell, M",,,1982,Journal of Autism & Developmental Disorders,Randomized Double-blind Placebo Controlled ,12 weeks ,42,,2.6-7.8 y,,Stereotypy and social withdrawal.,Stereotypy and social withdrawal subscales of CPRS.,Haloperidol was superior to placebo on sterotypy and social withdrawal scores.,,,,Sedation and acute dystonic reactions.,Acute dystonic reactions in 2 pts.,,,"There was more of a ""positive impact on learning when haloperidol treatment was combined with language training"".",,,,,,,
Haloperidol,Yes,,Anderson,,,1989,Journal of Autism & Developmental Disorders,Randomized Double-blind Placebo Controlled ,14 weeks,45,,2.3-7.9 y,,Withdrawal and stereotypy,CPRS,Haloperidol superior to placebo on all subscales of CPRS. No significant treatment benefit in irritability symptoms. ,,,,"Sedation, increased irritability","Shown to have long term safety and efficacy, though there is risk for dyskinesia. ",,,,,,,,,,
Intranasal Oxytocin,,,"Anagnostou, Evdokia",,"Proximagen, Neuropharm, Seaside Therapeutics, and Novartis",2012,Anagnostou et al. Molecular Autism,RPCT- Pilot ,6 weeks,19,16 M: 3 F,Mean: 33 y,24 IU BID,,Social function/cognition (Diagnositic Analysis of Nonverbal Accuracy) and repetitive behaviors (Repetitive Behavior Scale-Revised),No significant changes in primary outcome measures. ,"Social, obsessive behaviors, and emotional states. ","Social Responsiveness Scale, Reading-the-Mind-in-the-Eyes Test and Yale Brown Obsessive Compulsive Scale - compulsion subscale, and quality of life (World Health Organization Quality of Life Questionnaire - emotional/social subscales)","Improvements in the measurements of social cognition, Reading-the-Mind-in-the-Eyes Test and quality of life. ",Well tolerated. ,No serious adverse effects. ,n=3,73.7% White; 5.2% Black; 5.2% Hispanic; 10.5% Asian; 5.2% Other,IN-OXT has a very short half-life in the blood. ,,,,,,,
Intranasal Oxytocin,,,"Parker, Karen",,No conflicts of interest. ,"July 25, 2017",PNAS,RPCT - Parallel design,4 weeks,32,27 M: 5 F,"6-12 years, Mean: 8/9 years",24 IU BID,Social behaviors. ,Improvement in social abilities measured by the Social Responsiveness Scale (SRS).,"Oxytocin significantly enhanced social abilities in participants. ""individuals with the lowest pretreatment OXT concentrations showed the greatest social improvement""",,Treatment efficacy in nonsocial symptom domains and OXT safety/tolerability. ,,Well tolerated with minimal side effects. Increase in blood pressure in OXT treated participants. ,,n=2 ,14 white; 9 asian; 9 other,,,,,,,,
Lamotrigine,No,Yes,"Belsito, Karin M.",,Glaxco-Wellcome,2001,Journal of Autism & Developmental Disorders,Randomized Double-blind Placebo Controlled  - Parallel,18 weeks ,28,27 M:1 F,3-11 y; mean: 5.8 y,mean: 5.0 mg/kg/d,,"ABC, Autism Bx Checklist, Vineland Bx Scales, PL-ADOS, or CARS",No significant results in diference between tx groups.,,,,Insomnia and hyperactivity. Well tolerated with limited side effects.,"No rashes. 6 pts dropped out due to adverse events (insomnia, increased stereotypies and aggression)",n=7,89.5% white Lamotrigine group; 66.7% white in placebo group,,,,,,,,
L-Carnosine,,,"Mehrazad-Saber, Zahra",,No conflicts of interest.,"January 30, 2018",Basic & Clinical Pharmacology & Toxicology,Randomized Double-blind Placebo Controlled  ,2 months,43,31 M: 12 F,,500 mg/d,Sleep habits and autism severity.,Children's Sleep Habits Questionnaires and Gilliam Autism Rating Scale 2,"Did not change autism severity. Signficantly reduced sleep duration, parasomnias, and total sleep disorders score by 7.59%.",,,,,,n=7,,,,,,,,,
Levetiracetam,,,Wasserman. Stacy,10.1097/01.yic.0000224787.13782.0f,,November 2006,International Clinical Psychopharmacology,Randomized Double-blind Placebo Controlled ,10 weeks ,20,17 M: 3 F,5-17 y ,20-30 mg/kg/d,Global improvement,CGI-I,No significant improvement.,"Aggression, affective instability, repetitive behaviors, impulsivity, and hyperactivity",ABC parent and teacher ratings; CY-BOCS; Conners' Rating Scale-Revised: Long version for parent and teacher,No significant change in any secondary measures.,,,,,,,,,,,,
Levocarnitine,,,"Geier, David",PMID: 21629200,No conflicts of interest,"June 1, 2011",Medical Science Monitor,Randomized Double-blind Placebo Controlled  ,3 months,30,4 F: 23 M,3-10 y,50 mg L-cartinine/kg bodyweight/day,,"Childhood Autism Rating Scale (CARS), hand muscle testing, and modified clinical global impression (CGI) forms",Significantly improved clinical measurements over time. ,,"Serum free-carnitine. Autism Treatment Evaluation Checklist (ATEC), treatment adherence measurement (TAM), frequency and intensity of side effect rating (FISER)/global rating of side effect burden (GRSEB)/patient report of incidence of side effects (PRISE) forms","""Significant correlations between increasing serum free-carnitine levels and positive outcomes on clinical measurements""",Well tolerated. Side effects included irritability and/or stomach discomfort. ,Minimal AEs.,"n=4 L-Carnitine; 1 AE, 2 non-compliance, 1 lost to follow-up ",21 White; 6 'minorities',,High risk - Participants were assigned to groups with a coin flip by a study investigator. This investigator was not involved in efficacy measurements,"Unclear risk - Participants were shipped either placebo or levocarnitine. No statements on the blinding of formulation of the placebo or levocarnitine (i.e. taste, shape, color, etc..)",Low risk - Assessors were blinded,Low risk - Participants and clinicians were blinded. ,Low risk - All baseline and endpoint scores on all measures reported. ,Low risk - All data reported. ,
Lovastatin & parent implemented language intervention (PILI),,,"Thurman, Angela",,,April 2020,Journal of Neurodevelopmental Disorders,Lovastatin (RPCT) & open-label PILI,20 weeks,32 (30 analyzed),28 M: 2 F,,max: 40 mg/d,"Language, nonverbal cognition",3 language samples (storytelling); ADOS-2; Leiter-R; PPVT-4; EVT-2,,Maladaptive behavior,RBS-R; ABC-C total,,,,n=2,24 Caucasian; 4 Hispanic; 1 African American; 1 Asian,,,,,,,,
Lurasidone,No,No,"Loebel, Antony",,Sponsored by Sunovion Pharmaceuticals,"December 11, 2015",Journal of Autism & Developmental Disorders,Randomized Double-blind Placebo Controlled  - Fixed dose,6 weeks,150,121 M: 29 F,6-17 y; Mean: 11 y,20 mg/d or 60 mg/d,"Irritability, aggression, and SIB","Irritability, agitation, and/or self-injurous bx. Measured by the ABC-I",No change between tx groups for ABC-I scores. Not effacacious in short term tx of moderate-to-severe irritability. ,Obsessive compulsive behaviors.,CGI-I; CGI-S; CY-BOCS Compulsions; CGSQ global strain,"""Significantly greater improvement was observed at endpoint on the CGI-I scale for the lurasidone 20mg/day group compared with the placebo group"". No improvements on any of the other secondary outcome measures. ",Side effects included vomiting and somnolence. ,"Majority of the AEs were mild or moderate. 12% of AEs were severe in the lurasidone 20mg tx group. Serious treatment emergent Aes were arm fracture (n=3), increased irritability, and appendicitis. ","Discontinuation rates due to aes were: lurasidone 20mg/day, 4.1%; 60mg/day, 3.9%; and placebo, 8.2%",114 White; 24 Black; 10 Other,,,,,,,,
Mecamylamine,,,"Arnold, Eugene",,Dr. Aman and Dr. Arnold have received consulting honoraria and research support from multiple pharmaceutical companies.,2012,Journal of Child and Adolescent Psychopharmacology,Randomized Double-blind Placebo Controlled  - Pilot,14 weeks,20,17 M: 3 F,4-12 y; Mean: 7.4 y (SD: 2.55),"0.5 mg/d for 6 weeks - 2.5 mg for 2 weeks - then, 5 mg/d for 6 weeks.",,Ohio Autism Clinical Impressions Scale (OACIS) and OARS-4 ,"90% of the treatment group showed improvement, but only 40% sustained it. Better outcomes are more likely with lower mg/kg and longer medication duration.  Participants treated with a max dose of 0.13-0.15 mg/kg/d had a better outcome w/ sustained improvement, than those who regressed at doses ? 0.18mg/kg/d. ",,"Repetitive Behavior Scale, the Abberant Behavior Checklist, the Social Responsiveness Scale, and target symptom assessment",No significant improvements on any secondary measure. ,Well tolerated. Constipation was common. ,Safe. No dose reduction because of Aes,n=2 ,17 White; 2 Asian; 1 other,"""Mecamylamine appeared to be safe, but not very effective in autism. The suggestion of better results at lower doses and longer exposure warrants consideration for future trials. The next step would be exploration of a more specific a4b2 nAChR agonist, such as varenicline.""",,,,,,,
Melatonin,Yes,Yes,"Hayashi, M",0.1007/s10803-021-05139-w,Nobelpharma,"June 7, 2021",Journal of Autism & Developmental Disorders,RCT - Open-label,"56 days (14 d RCT, 52 d open-label)",196,121 M: 75 F,6-15 y; mean: 11 y,"1 mg, 4 mg, or placebo",Sleep onset latency,Sleep onset latency (SOL),"SOL shortened significantly in both melatonin groups compared to placebo group. However, SOL did not change in the subgroups: �female,�  �previous  history  of  ramelteon  treatment,�  and height ? 145 cm. 4-mg treatment shortened SOL in all participant subgroups. ",Sleep variables: Total sleep time (TST); sleep efficiency (SE); changes in aberrant behaviors,"Number of awakenings after sleep onset, wakening time after sleep onset, ABC","TST and the number of wakenings did not change in any melatonin groups. SE improved significantly in the 4-mg group. In the 1-mg melatonin group, wakening time after sleep onset extended significantly. No changes in ABC. ",Highest rates of AEs reported in the 4 mg group. Most common side effects were infections and infestations. ,Generally safe. 2 patients had serious worsening of irritability.,n=9,Not reported,"Study assessed efficacy of melatonin supplementation with adequate sleep hygeine. ""2 children were admitted to the hos-pital due to the abrupt deterioration of irritability�one of the aberrant behaviors of ASD�on the next day of the last medication. Hence, these episodes advert clinicians to be cautious when modi-fying the therapeutic intervention for children with ASD"".",Low risk - Computer generated randomization. ,Low risk - Independent third party ensured each treatment was indistinguishable. ,Low risk - All personnel in this study were blinded to treatment allocation,Low risk - Patients and clinicians were blinded to allocation and were given the same instructions. ,Low risk - All primary and secondary outcome results were reported,Low risk - Insignificant results reported. ,"Nobelpharma sponsored this study and provided the drugs for this study. However, risk of biases remain low, according to Cochrane's assessment. "
